cell_x,cell_y,accident_count,center_x,center_y,distance_to_centroid_m
427000,424000,5,427500.0,424500.0,10061.035016401745
439000,437000,5,439500.0,437500.0,10062.089981998466
429000,444000,5,429500.0,444500.0,10259.664542630893
438000,440000,5,438500.0,440500.0,10568.379132946215
440000,436000,5,440500.0,436500.0,10760.808497618516
438000,426000,5,438500.0,426500.0,11520.86566359421
438000,425000,5,438500.0,425500.0,12216.103385873992
442000,428000,5,442500.0,428500.0,13780.809364121416
419000,443000,5,419500.0,443500.0,13974.922848267348
438000,446000,5,438500.0,446500.0,14922.252501650863
443000,427000,5,443500.0,427500.0,15114.895019378782
444000,429000,5,444500.0,429500.0,15280.735822469176
446000,430000,5,446500.0,430500.0,16943.761914696774
415000,443000,5,415500.0,443500.0,17178.83683291149
443000,447000,5,443500.0,447500.0,18931.54313655606
434000,432000,4,434500.0,432500.0,4850.494220250979
423000,432000,4,423500.0,432500.0,6709.374155002112
436000,430000,4,436500.0,430500.0,7525.023828125607
436000,440000,4,436500.0,440500.0,9033.140132649269
435000,443000,4,435500.0,443500.0,10772.307243480293
439000,427000,4,439500.0,427500.0,11673.646292552006
434000,445000,4,434500.0,445500.0,12123.96067032449
441000,428000,4,441500.0,428500.0,12878.827520758612
422000,445000,4,422500.0,445500.0,13506.750952241997
444000,436000,4,444500.0,436500.0,14696.293179085915
441000,443000,4,441500.0,443500.0,14775.711619843574
421000,446000,4,421500.0,446500.0,14895.73685889037
417000,442000,4,417500.0,442500.0,14956.880960587623
445000,446000,4,445500.0,446500.0,19773.699165019047
423000,436000,3,423500.0,436500.0,6855.972313880693
423000,430000,3,423500.0,430500.0,7484.74275732748
424000,440000,3,424500.0,440500.0,8309.00232316696
428000,442000,3,428500.0,442500.0,8379.730347574818
425000,441000,3,425500.0,441500.0,8519.576969041544
435000,441000,3,435500.0,441500.0,9113.082680382848
429000,424000,3,429500.0,424500.0,9763.065217587979
428000,424000,3,428500.0,424500.0,9862.602801597008
437000,427000,3,437500.0,427500.0,10108.46184748199
428000,444000,3,428500.0,444500.0,10354.429395505602
440000,435000,3,440500.0,435500.0,10597.06732158463
439000,429000,3,439500.0,429500.0,10642.760223365804
442000,437000,3,442500.0,437500.0,12937.74246413396
436000,445000,3,436500.0,445500.0,13003.208803106609
437000,445000,3,437500.0,445500.0,13532.551407550473
422000,446000,3,422500.0,446500.0,14350.243377382565
444000,427000,3,444500.0,427500.0,16015.82217270311
442000,444000,3,442500.0,444500.0,16182.253427684587
445000,429000,3,445500.0,429500.0,16234.142899977805
443000,444000,3,443500.0,444500.0,16967.964946292665
441000,447000,3,441500.0,447500.0,17558.767288442225
444000,448000,3,444500.0,448500.0,20345.687446147207
433000,430000,2,433500.0,430500.0,5146.499621241309
436000,432000,2,436500.0,432500.0,6754.28094043343
434000,439000,2,434500.0,439500.0,6928.740153176668
435000,429000,2,435500.0,429500.0,7285.760872333721
436000,438000,2,436500.0,438500.0,7784.81170277321
431000,442000,2,431500.0,442500.0,8388.051380415334
437000,430000,2,437500.0,430500.0,8406.69328777167
